CHOL(386),COCA(2005),ESCA(514),LIHC(1163),PAAD(389),STAD(928),3149 all,44 common,cooccurence(5955)
,,,,,,,,SCGB3A1
,,,,,,,,NDP
,,,,,,,,OLR1
,,,,,,,,CAP2
,,,,,,,,RPSA
,,,,,,,,CANX
,,,,,,,,GBA
,,,,,,,,C1orf61
,,,,,,,,MIR494
,,,,,,,,KCNH1
,,,,,,,,PLP2
,,,,,,,,FKBP11
,,,,,,,,TMEM176B
,,,,,,,,TMEM176A
,,,,,,,,MIR302B
,,,,,,,,TNFRSF17
,,,,,,,,POLE2
,,,,,,,,TNFSF13B
,,,,,,,,MIR320A
,,,,,,,,PLIN2
,,,,,,,,UGDH
,,,,,,,,SEC23B
,,,,,,,,C1QBP
,,,,,,,,LRRC32
,,,,,,,,UBE3C
,,,,,,,,RPL27
,,,,,,,,RPL30
,,,,,,,,GGT1
,,,,,,,,ADI1
,,,,,,,,PCSK9
,,,,,,,,CCNY
,,,,,,,,RPA2
,,,,,,,,TUBA8
,,,,,,,,HMBS
,,,,,,,,B3GNT3
,,,,,,,,SIGLEC1
,,,,,,,,PDK4
,,,,,,,,HAS3
,,,,,,,,ADAMTS13
,,,,,,,,ADIPOQ
,,,,,,,,NPC2
,,,,,,,,NDRG3
,,,,,,,,AGO4
,,,,,,,,AGO3
,,,,,,,,PIWIL4
,,,,,,,,SCARB2
,,,,,,,,CCDC158
,,,,,,,,ART3
,,,,,,,,GRHPR
,,,,,,,,MIR30A
,,,,,,,,RPL36
,,,,,,,,GPAM
,,,,,,,,TCP1
,,,,,,,,RNMTL1
,,,,,,,,FSTL3
,,,,,,,,BAMBI
,,,,,,,,CDK10
,,,,,,,,ME1
,,,,,,,,NFAM1
,,,,,,,,NKX2-5
,,,,,,,,ZAR1
,,,,,,,,CSRP2
,,,,,,,,NDUFS8
,,,,,,,,ADAMTS5
,,,,,,,,OIT3
,,,,,,,,ENTPD1
,,,,,,,,RERG
,,,,,,,,BTG3
,,,,,,,,SH2D4A
,,,,,,,,HHEX
,,,,,,,,GNS
,,,,,,,,GPR37
,,,,,,,,ESRP1
,,,,,,,,CD3G
,,,,,,,,BNIP1
,,,,,,,,LAMC1
,,,,,,,,FAM84A
,,,,,,,,RPL39L
,,,,,,,,RAB27B
,,,,,,,,RABGAP1L
,,,,,,,,NADSYN1
,,,,,,,,DHCR7
,,,,,,,,IVL
,,,,,,,,MCM4
,,,,,,,,AK1
,,,,,,,,ERMP1
,,,,,,,,IL33
,,,,,,,,BRF2
,,,,,,,,TLE2
,,,,,,,,PCAT1
,,,,,,,,SHANK2
,,,,,,,,THSD7A
,,,,,,,,CRNN
,,,,,,,,COL4A5
,,,,,,,,TRIB1
,,,,,,,,SMYD2
,,,,,,,,9-Sep
,,,,,,,,MMS22L
,,,,,,,,C6orf120
,,,,,,,,TNRC6C
,,,,,,,,LRIG1
,,,,,,,,FAM60A
,,,,,,,,ZNF382
,,,,,,,,CDKN2B-AS1
,,,,,,,,NNT
,,,,,,,,GALNT7
,,,,,,,,GML
,,,,,,,,RHBDF2
,,,,,,,,DNAH9
,,,,,,,,BAG1
,,,,,,,,NFX1
,,,,,,,,SNTA1
,,,,,,,,BMPR2
,,,,,,,,SNIP1
,,,,,,,,SRP68
,,,,,,,,PITX2
,,,,,,,,BANF1
,,,,,,,,MPC1
,,,,,,,,HMGCS2
,,,,,,,,EVPL
,,,,,,,,CBX8
,,,,,,,,VIT
,,,,,,,,SMARCAL1
,,,,,,,,ACTL6B
,,,,,,,,SRP54
,,,,,,,,BAZ1A
,,,,,,,,MAP3K3
,,,,,,,,ATP1A1
,,,,,,,,FARSB
,,,,,,,,ZRANB3
,,,,,,,,ZFP82
,,,,,,,,PABPC1
,,,,,,,,TCF21
,,,,,,,,AP2M1
,,,,,,,,UBE2L6
,,,,,,,,RAP1A
,,,,,,,,UBE2M
,,,,,,,,NFIL3
,,,,,,,,COX6C
,,,,,,,,CD200
,,,,,,,,TIGIT
,,,,,,,,MIR98
,,,,,,,,GGCT
,,,,,,,,HOXD9
,,,,,,,,CDC27
,,,,,,,,TPD52
,,,,,,,,RAPGEFL1
,,,,,,,,TFAP2B
,,,,,,,,ARHGEF4
,,,,,,,,TGM3
,,,,,,,,NFAT5
,,,,,,,,CSNK1A1
,,,,,,,,SERBP1
,,,,,,,,WNK2
,,,,,,,,PRKRIR
,,,,,,,,ADCY2
,,,,,,,,KANK1
,,,,,,,,TMPRSS11A
,,,,,,,,GUSB
,,,,,,,,GDF7
,,,,,,,,BARX1
,,,,,,,,ALDH1A2
,,,,,,,,NOS1
,,,,,,,,KAT6A
,,,,,,,,KAT8
,,,,,,,,DOT1L
,,,,,,,,BARD1
,,,,,,,,ITK
,,,,,,,,OPA3
,,,,,,,,RBP1
,,,,,,,,RNF111
,,,,,,,,CDO1
,,,,,,,,GP6
,,,,,,,,HMGN5
,,,,,,,,ANGPTL2
,,,,,,,,ARSA
,,,,,,,,SLC9A2
,,,,,,,,SLC26A3
,,,,,,,,SEPP1
,,,,,,,,RBBP6
,,,,,,,,CRCT1
,,,,,,,,C10orf99
,,,,,,,,GPR15
,,,,,,,,TINCR
,,,,,,,,DPP6
,,,,,,,,ADHFE1
,,,,,,,,CNKSR2
,,,,,,,,ZNF135
,,,,,,,,GRIA4
,,,,,,,,RPS6KA6
,,,,,,,,DSC2
,,,,,,,,POLR1A
,,,,,,,,CBR3
,,,,,,,,C2orf40
,,,,,,,,EMP3
,,,,,,,,MAGEA4
,,,,,,,,NPNT
,,,,,,,,CMKLR1
,,,,,,,,PXDN
,,,,,,,,OBP2A
,,,,,,,,SLC27A5
,,,,,,,,MAP3K9
,,,,,,,,PPL
,,,,,,,,CALB1
,,,,,,,,BNC2
,,,,,,,,SULT1A2
,,,,,,,,WTAP
,,,,,,,,DOK7
,,,,,,,,GP5
,,,,,,,,CDC5L
,,,,,,,,TFG
,,,,,,,,GPSM1
,,,,,,,,LINC01554
,,,,,,,,NCF1
,,,,,,,,COL17A1
,,,,,,,,EPC2
,,,,,,,,RNF6
,,,,,,,,PTPRU
,,,,,,,,HOXB13
,,,,,,,,SDCCAG8
,,,,,,,,IFIT1
,,,,,,,,IFIT3
,,,,,,,,ANXA13
,,,,,,,,GABRA2
,,,,,,,,COL10A1
,,,,,,,,DYNLT3
,,,,,,,,MARCKSL1
,,,,,,,,HOMER3
,,,,,,,,FANCE
,,,,,,,,ZNF750
,,,,,,,,DBT
,,,,,,,,HELQ
,,,,,,,,FAM162A
,,,,,,,,ELAVL2
,,,,,,,,LINGO2
,,,,,,,,SAGE1
,,,,,,,,PTGES2
,,,,,,,,SERTAD1
,,,,,,,,DCT
,,,,,,,,TRAK2
,,,,,,,,ALS2CR12
,,,,,,,,TNFRSF21
,,,,,,,,S1PR2
,,,,,,,,PTGES3
,,,,,,,,FLOT2
,,,,,,,,PHF8
,,,,,,,,PPIE
,,,,,,,,SS18
,,,,,,,,AFAP1-AS1
,,,,,,,,UCA1
,,,,,,,,ZIC2
,,,,,,,,SURF1
,,,,,,,,HOOK2
,,,,,,,,PTPN9
,,,,,,,,HEPH
,,,,,,,,MAP3K4
,,,,,,,,RAB3A
,,,,,,,,ACP6
,,,,,,,,GART
,,,,,,,,FDFT1
,,,,,,,,FAIM
,,,,,,,,HECTD3
,,,,,,,,INPP5D
,,,,,,,,DGKG
,,,,,,,,EPHX2
,,,,,,,,CACNA1C
,,,,,,,,NR1D1
,,,,,,,,RBMS3
,,,,,,,,PRX
,,,,,,,,TP73-AS1
,,,,,,,,MXI1
,,,,,,,,PMS2CL
,,,,,,,,LCT
,,,,,,,,MRPL21
,,,,,,,,ELAC1
,,,,,,,,SLC12A2
,,,,,,,,CYSLTR1
,,,,,,,,NPPA
,,,,,,,,MFSD5
,,,,,,,,CARD6
,,,,,,,,BCLAF1
,,,,,,,,TNIP1
,,,,,,,,PEG3
,,,,,,,,MAML1
,,,,,,,,LSR
,,,,,,,,CRISP3
,,,,,,,,DOCK7
,,,,,,,,DMTF1
,,,,,,,,CTNND2
,,,,,,,,FSTL1
,,,,,,,,TEF
,,,,,,,,PSAT1
,,,,,,,,LAG3
,,,,,,,,SESN3
,,,,,,,,MAN2C1
,,,,,,,,NDUFB9
,,,,,,,,CCT5
,,,,,,,,RFC3
,,,,,,,,ZEB1-AS1
,,,,,,,,STX6
,,,,,,,,RPS6KA5
,,,,,,,,RASSF8
,,,,,,,,PAX2
,,,,,,,,KIAA1522
,,,,,,,,WDHD1
,,,,,,,,PDS5A
,,,,,,,,BTG1
,,,,,,,,MUC20
,,,,,,,,VDAC1
,,,,,,,,GRM3
,,,,,,,,COL4A4
,,,,,,,,NR5A1
,,,,,,,,LGALS8
,,,,,,,,RRAS
,,,,,,,,MRAS
,,,,,,,,ZNF282
,,,,,,,,CTNNAL1
,,,,,,,,BRE
,,,,,,,,PIR
,,,,,,,,EIF4G1
,,,,,,,,ZNF208
,,,,,,,,TBL1XR1
,,,,,,,,SPRR2C
,,,,,,,,VTRNA2-1
,,,,,,,,PDE4DIP
,,,,,,,,ATP2C1
,,,,,,,,IFIT2
,,,,,,,,SOX5
,,,,,,,,RBM38
,,,,,,,,ARPC1A
,,,,,,,,RSF1
,,,,,,,,THSD1
,,,,,,,,S1PR1
,,,,,,,,ABCA5
,,,,,,,,KLK5
,,,,,,,,ORAI3
,,,,,,,,STIM2
,,,,,,,,KRT15
,,,,,,,,UBE2D3
,,,,,,,,PDPR
,,,,,,,,MDH1
,,,,,,,,WBSCR22
,,,,,,,,ABAT
,,,,,,,,DRD1
,,,,,,,,CUL1
,,,,,,,,PRR11
,,,,,,,,DSE
,,,,,,,,GPR39
,,,,,,,,SLC27A6
,,,,,,,,HNMT
,,,,,,,,ABCA8
,,,,,,,,IP6K2
,,,,,,,,BLVRB
,,,,,,,,PSME1
,,,,,,,,NMT2
,,,,,,,,EYA4
,,,,,,,,CTSK
,,,,,,,,IGHMBP2
,,,,,,,,SLC10A2
,,,,,,,,KMT2D
,,,,,,,,ACTN1
,,,,,,,,CHRNB3
,,,,,,,,CHRNA6
,,,,,,,,BCCIP
,,,,,,,,MLK4
,,,,,,,,TNP1
,,,,,,,,NEAT1
,,,,,,,,MYL9
,,,,,,,,DERA
,,,,,,,,SNX2
,,,,,,,,JMY
,,,,,,,,TUG1
,,,,,,,,CDCA7
,,,,,,,,LETM2
,,,,,,,,RAB37
,,,,,,,,EVL
,,,,,,,,UBE2S
,,,,,,,,EML4
,,,,,,,,UPB1
,,,,,,,,KLK8
,,,,,,,,KLK15
,,,,,,,,SLC9A9
,,,,,,,,KDM5B
,,,,,,,,FBXL19
,,,,,,,,NPC1
,,,,,,,,IL22RA2
,,,,,,,,DLX6
,,,,,,,,SEMG2
,,,,,,,,UBL3
,,,,,,,,BMP8A
,,,,,,,,AKIP1
,,,,,,,,EHD2
,,,,,,,,UPK1A
,,,,,,,,AANAT
,,,,,,,,DNAH17
,,,,,,,,CXCL11
,,,,,,,,ICAM5
,,,,,,,,LASP1
,,,,,,,,CHRNB4
,,,,,,,,CHRNA1
,,,,,,,,CHRNA4
,,,,,,,,CHRNA7
,,,,,,,,PTPRT
,,,,,,,,SNN
,,,,,,,,PRAME
,,,,,,,,CYP2R1
,,,,,,,,CCL28
,,,,,,,,SQLE
,,,,,,,,RPL28
,,,,,,,,RPL7
,,,,,,,,PCLO
,,,,,,,,PRRX2
,,,,,,,,CHST15
,,,,,,,,TLX3
,,,,,,,,PDE4D
,,,,,,,,KIF26B
,,,,,,,,BBS5
,,,,,,,,GOSR1
,,,,,,,,EHMT1
,,,,,,,,PLN
,,,,,,,,RBM4
,,,,,,,,STIP1
,,,,,,,,LTBP4
,,,,,,,,RAD54B
,,,,,,,,CTCFL
,,,,,,,,HPRT1
,,,,,,,,KRT5
,,,,,,,,MCM10
,,,,,,,,DMRT2
,,,,,,,,PHLDB2
,,,,,,,,CD1C
,,,,,,,,TNRC6A
,,,,,,,,DDN
,,,,,,,,GJA1
,,,,,,,,NIT1
,,,,,,,,VNN2
,,,,,,,,AIF1
,,,,,,,,SLC11A1
,,,,,,,,ALPI
,,,,,,,,LOR
,,,,,,,,STK40
,,,,,,,,TMED6
,,,,,,,,TFE3
,,,,,,,,COG8
,,,,,,,,SH2B1
,,,,,,,,C15orf48
,,,,,,,,ATP2A3
,,,,,,,,TMEM173
,,,,,,,,ATP1B2
,,,,,,,,ZBTB32
,,,,,,,,ACTA2
,,,,,,,,PA2G4
,,,,,,,,HNF1A-AS1
,,,,,,,,DIRAS1
,,,,,,,,PGLYRP2
,,,,,,,,TMEM97
,,,,,,,,FAM83F
,,,,,,,,NAT10
,,,,,,,,PAX1
,,,,,,,,ZNF582
,,,,,,,,TPM4
,,,,,,,,BCL9
,,,,,,,,CTAGE1
,,,,,,,,GALR1
,,,,,,,,DPH1
,,,,,,,,ALDH3A2
,,,,,,,,OVCA2
,,,,,,,,ZNF18
,,,,,,,,ALG3
,,,,,,,,MYO9B
,,,,,,,,MT4
,,,,,,,,MT3
,,,,,,,,PLOD1
,,,,,,,,LAPTM5
,,,,,,,,MIR498
,,,,,,,,NPPB
,,,,,,,,MYH6
,,,,,,,,MYH7
,,,,,,,,GZMB
,,,,,,,,CEACAM8
,,,,,,,,HNF4G
,,,,,,,,RSRC2
,,,,,,,,HS6ST2
,,,,,,,,SLC22A6
,,,,,,,,CBX3
,,,,,,,,RHCG
,,,,,,,,CSTB
,,,,,,,,MMP24
,,,,,,,,PARL
,,,,,,,,SLC31A1
,,,,,,,,TIA1
,,,,,,,,PAQR3
,,,,,,,,VILL
,,,,,,,,CTDSPL
,,,,,,,,SCAP
,,,,,,,,OSM
,,,,,,,,ZNF793
,,,,,,,,B3GAT2
,,,,,,,,LLGL2
,,,,,,,,FKBP2
,,,,,,,,POLI
,,,,,,,,IVD
,,,,,,,,CSTA
,,,,,,,,ZNF695
,,,,,,,,GUCY2C
,,,,,,,,GPX7
,,,,,,,,PTOV1
,,,,,,,,CAMK2G
,,,,,,,,USP54
,,,,,,,,CNOT2
,,,,,,,,MSH3
,,,,,,,,SMARCB1
,,,,,,,,MUC21
,,,,,,,,SRMS
,,,,,,,,ASPA
,,,,,,,,FGF10
,,,,,,,,KCNK2
,,,,,,,,INSIG2
,,,,,,,,RGS1
,,,,,,,,PLA2G5
,,,,,,,,CDC42EP3
,,,,,,,,AGK
,,,,,,,,GCH1
,,,,,,,,NR1D2
,,,,,,,,UBR5
,,,,,,,,SALL2
,,,,,,,,DACT3
,,,,,,,,CMTM6
,,,,,,,,CMTM7
,,,,,,,,KCNK4
,,,,,,,,PHF2
,,,,,,,,SKAP2
,,,,,,,,TMIGD2
,,,,,,,,HHLA2
,,,,,,,,EME1
,,,,,,,,CPT1A
,,,,,,,,TRIM21
,,,,,,,,CKAP5
,,,,,,,,API5
,,,,,,,,DOCK2
,,,,,,,,ELMO1
,,,,,,,,SPG20
,,,,,,,,COX4I1
,,,,,,,,PIK3R4
,,,,,,,,DNAJB6
,,,,,,,,USP14
,,,,,,,,SCGB2A2
,,,,,,,,REV3L
,,,,,,,,DAK
,,,,,,,,LLGL1
,,,,,,,,ADAMTS16
,,,,,,,,KERA
,,,,,,,,HOXC8
,,,,,,,,HOXC4
,,,,,,,,HOXC9
,,,,,,,,MAN2A1
,,,,,,,,FER
,,,,,,,,PTK6
,,,,,,,,ELF5
,,,,,,,,ZNF143
,,,,,,,,SPIB
,,,,,,,,PIK3CB
,,,,,,,,RRH
,,,,,,,,EN2
,,,,,,,,GRASP
,,,,,,,,EMILIN2
,,,,,,,,SNX10
,,,,,,,,WDR72
,,,,,,,,CHST2
,,,,,,,,TREM2
,,,,,,,,KCNJ8
,,,,,,,,REPS2
,,,,,,,,TRO
,,,,,,,,ASCC1
,,,,,,,,NTM
,,,,,,,,SLCO6A1
,,,,,,,,WNK1
,,,,,,,,AQP8
,,,,,,,,SHF
,,,,,,,,RFC5
,,,,,,,,CDCA3
,,,,,,,,SIM2
,,,,,,,,THSD4
,,,,,,,,SIX4
,,,,,,,,UCP1
,,,,,,,,ERAP1
,,,,,,,,AKAP4
,,,,,,,,ICT1
,,,,,,,,SSBP2
,,,,,,,,ERO1L
,,,,,,,,AFAP1
,,,,,,,,STK31
,,,,,,,,HSD17B4
,,,,,,,,SATB2
,,,,,,,,PLA2G10
,,,,,,,,IL2RG
,,,,,,,,LAPTM4A
,,,,,,,,OLFM1
,,,,,,,,PTX3
,,,,,,,,BRDT
,,,,,,,,SSX4
,,,,,,,,BRD2
,,,,,,,,PDAP1
,,,,,,,,AHNAK2
,,,,,,,,CASC2
,,,,,,,,KRT81
,,,,,,,,ACOT8
,,,,,,,,MYL12B
,,,,,,,,SCN8A
,,,,,,,,DDX46
,,,,,,,,TOM1L1
,,,,,,,,USP4
,,,,,,,,BPI
,,,,,,,,MIR326
,,,,,,,,SUSD2
,,,,,,,,LINC-ROR
,,,,,,,,XRCC2
,,,,,,,,ANGPTL3
,,,,,,,,AKAP13
,,,,,,,,RGS22
,,,,,,,,PRKAG2
,,,,,,,,KCNH7
,,,,,,,,ZFHX4
,,,,,,,,DNAH5
,,,,,,,,SPHKAP
,,,,,,,,DERL1
,,,,,,,,EVX1
,,,,,,,,CD1B
,,,,,,,,ACAP2
,,,,,,,,CYP2B6
,,,,,,,,FLI1
,,,,,,,,MYBL2
,,,,,,,,CD109
,,,,,,,,HOXA9
,,,,,,,,CARS
,,,,,,,,BCAS1
,,,,,,,,PPBP
,,,,,,,,COL4A6
,,,,,,,,NTRK2
,,,,,,,,CNR1
,,,,,,,,CYP11A1
,,,,,,,,ACD
,,,,,,,,PIGS
,,,,,,,,AMN
,,,,,,,,TLR8
,,,,,,,,CD160
,,,,,,,,CYP27B1
,,,,,,,,MAFG
,,,,,,,,TYRO3
,,,,,,,,GLCE
,,,,,,,,ADAMTS14
,,,,,,,,ADAMTS17
,,,,,,,,ADAMTS15
,,,,,,,,ADAMTS19
,,,,,,,,AMD1
,,,,,,,,PRG2
,,,,,,,,PSME3
,,,,,,,,CYTL1
,,,,,,,,MS4A12
,,,,,,,,ATG10
,,,,,,,,PHLDA1
,,,,,,,,RAD21
,,,,,,,,RAET1E
,,,,,,,,ZNF146
,,,,,,,,KIR2DS4
,,,,,,,,DPP10
,,,,,,,,GCSH
,,,,,,,,SCN2A
,,,,,,,,ENC1
,,,,,,,,WIPF1
,,,,,,,,CDHR5
,,,,,,,,HLA-DRA
,,,,,,,,BRD8
,,,,,,,,RPH3AL
,,,,,,,,GTF2H5
,,,,,,,,NEU3
,,,,,,,,ANK1
,,,,,,,,NEUROG1
,,,,,,,,ASGR1
,,,,,,,,CASP2
,,,,,,,,MEF2B
,,,,,,,,HOXA4
,,,,,,,,GJA8
,,,,,,,,GJC1
,,,,,,,,GALNT12
,,,,,,,,FABP6
,,,,,,,,C11orf53
,,,,,,,,PMS1
,,,,,,,,PRKG2
,,,,,,,,KIR2DL1
,,,,,,,,MARK4
,,,,,,,,RBM8A
,,,,,,,,LRRFIP1
,,,,,,,,GDF11
,,,,,,,,SETMAR
,,,,,,,,SDCBP2
,,,,,,,,TOMM34
,,,,,,,,MAP1B
,,,,,,,,SLC39A14
,,,,,,,,DUSP4
,,,,,,,,NLRP12
,,,,,,,,NLRP6
,,,,,,,,STAT6
,,,,,,,,DNAJB8
,,,,,,,,SGO1
,,,,,,,,AMBRA1
,,,,,,,,AMER1
,,,,,,,,HCAR2
,,,,,,,,TRIO
,,,,,,,,EPRS
,,,,,,,,COL12A1
,,,,,,,,NDUFC2
,,,,,,,,RFFL
,,,,,,,,MOG
,,,,,,,,HEXB
,,,,,,,,TIPIN
,,,,,,,,TIMELESS
,,,,,,,,TNFSF13
,,,,,,,,RAD51B
,,,,,,,,BRD4
,,,,,,,,PYCR1
,,,,,,,,SCGB1A1
,,,,,,,,NDRG4
,,,,,,,,BMPR1B
,,,,,,,,SETDB2
,,,,,,,,SETD2
,,,,,,,,SETD1B
,,,,,,,,PBDC1
,,,,,,,,ELF2
,,,,,,,,SPIC
,,,,,,,,SPDEF
,,,,,,,,EDN3
,,,,,,,,MEST
,,,,,,,,GLP2R
,,,,,,,,THAP11
,,,,,,,,KRT2
,,,,,,,,GSTM4
,,,,,,,,ADCYAP1
,,,,,,,,OAS2
,,,,,,,,PRODH
,,,,,,,,KLHL11
,,,,,,,,MAGOH
,,,,,,,,RBPMS
,,,,,,,,RBM39
,,,,,,,,DIDO1
,,,,,,,,CDH22
,,,,,,,,NMBR
,,,,,,,,RHOQ
,,,,,,,,AKR1C4
,,,,,,,,KIF5B
,,,,,,,,MYO10
,,,,,,,,NOXA1
,,,,,,,,PINK1
,,,,,,,,SNCAIP
,,,,,,,,TREX2
,,,,,,,,LAMB4
,,,,,,,,LAMC3
,,,,,,,,FANCM
,,,,,,,,HSPB8
,,,,,,,,CLEC3B
,,,,,,,,CERS5
,,,,,,,,ZNF346
,,,,,,,,IL10RB
,,,,,,,,ACP1
,,,,,,,,FEM1B
,,,,,,,,CRCP
,,,,,,,,UNC5A
,,,,,,,,NTN1
,,,,,,,,FAM134B
,,,,,,,,TLE6
,,,,,,,,IRX5
,,,,,,,,OGN
,,,,,,,,RERE
,,,,,,,,USP46
,,,,,,,,SLC39A8
,,,,,,,,KIF13B
,,,,,,,,RSPO1
,,,,,,,,ZFP36
,,,,,,,,LGALS7
,,,,,,,,MAOB
,,,,,,,,UBE2Q2
,,,,,,,,TPM2
,,,,,,,,GRIN2B
,,,,,,,,CA8
,,,,,,,,DEFA1
,,,,,,,,DEFA5
,,,,,,,,RPS6KA4
,,,,,,,,CIDEB
,,,,,,,,LTBR
,,,,,,,,DHX36
,,,,,,,,AKAP9
,,,,,,,,CA6
,,,,,,,,RD3
,,,,,,,,SYMPK
,,,,,,,,CA7
,,,,,,,,CA14
,,,,,,,,CD200R1
,,,,,,,,LMOD1
,,,,,,,,PPP1R12B
,,,,,,,,HBP1
,,,,,,,,TTYH2
,,,,,,,,SAMD9L
,,,,,,,,ROBO2
,,,,,,,,MIR135B
,,,,,,,,FERMT1
,,,,,,,,PPIL1
,,,,,,,,PITPNA
,,,,,,,,AKAP8L
,,,,,,,,NEDD8
,,,,,,,,GLT1D1
,,,,,,,,MRGPRX4
,,,,,,,,WBP5
,,,,,,,,TUBB6
,,,,,,,,RPS6KL1
,,,,,,,,TCEAL6
,,,,,,,,DCAF12L2
,,,,,,,,RANBP2
,,,,,,,,ITGA7
,,,,,,,,SIGIRR
,,,,,,,,HS3ST4
,,,,,,,,TFAP2E
,,,,,,,,PRRG1
,,,,,,,,BACH2
,,,,,,,,PARP6
,,,,,,,,CASP12
,,,,,,,,LIG4
,,,,,,,,SH3GL1
,,,,,,,,CASC5
,,,,,,,,NME4
,,,,,,,,EDA2R
,,,,,,,,PTGDR
,,,,,,,,MFF
,,,,,,,,FIS1
,,,,,,,,CCDC26
,,,,,,,,ST13
,,,,,,,,SRP19
,,,,,,,,SLC39A10
,,,,,,,,NRARP
,,,,,,,,PTPRM
,,,,,,,,PTPRS
,,,,,,,,4-Sep
,,,,,,,,ABCC8
,,,,,,,,TNFRSF19
,,,,,,,,GNA13
,,,,,,,,ARHGEF11
,,,,,,,,AAMP
,,,,,,,,AKAP10
,,,,,,,,PRR5
,,,,,,,,ALDH6A1
,,,,,,,,MIR211
,,,,,,,,MAGEA1
,,,,,,,,FLCN
,,,,,,,,CARD8
,,,,,,,,UBE2Q1
,,,,,,,,DAZL
,,,,,,,,EYA2
,,,,,,,,SLC5A7
,,,,,,,,BEST1
,,,,,,,,HEPHL1
,,,,,,,,ACO1
,,,,,,,,STK35
,,,,,,,,PDIK1L
,,,,,,,,ADAMTS12
,,,,,,,,DRAXIN
,,,,,,,,LRRFIP2
,,,,,,,,GNAQ
,,,,,,,,UBXN2A
,,,,,,,,KLK14
,,,,,,,,FAM3D
,,,,,,,,UGT1A9
,,,,,,,,ERAP2
,,,,,,,,MAGI2
,,,,,,,,ENAM
,,,,,,,,AMELX
,,,,,,,,MMP20
,,,,,,,,KLK4
,,,,,,,,NHSL1
,,,,,,,,ZBTB16
,,,,,,,,AURKC
,,,,,,,,PNKP
,,,,,,,,ADSL
,,,,,,,,KDM6B
,,,,,,,,HOXB8
,,,,,,,,CPSF6
,,,,,,,,SFPQ
,,,,,,,,NRM
,,,,,,,,EIF2AK4
,,,,,,,,SLC45A3
,,,,,,,,SF3B1
,,,,,,,,PDLIM4
,,,,,,,,RIF1
,,,,,,,,RPS23
,,,,,,,,DDX17
,,,,,,,,HERC1
,,,,,,,,PIK3C2B
,,,,,,,,CEP55
,,,,,,,,ARHGEF12
,,,,,,,,BCL2L15
,,,,,,,,DBI
,,,,,,,,UBE2N
,,,,,,,,TP53TG1
,,,,,,,,ATPIF1
,,,,,,,,HOXD1
,,,,,,,,GNB4
,,,,,,,,ANXA4
,,,,,,,,HAX1
,,,,,,,,OBSCN
,,,,,,,,RPL32
,,,,,,,,CABLES1
,,,,,,,,KRT23
,,,,,,,,PRPS2
,,,,,,,,CUL4B
,,,,,,,,CLK4
,,,,,,,,PDRG1
,,,,,,,,CAB39
,,,,,,,,MRGBP
,,,,,,,,COL6A1
,,,,,,,,MCUR1
,,,,,,,,HAS1
,,,,,,,,STUB1
,,,,,,,,ARL11
,,,,,,,,CLDN12
,,,,,,,,LRCH1
,,,,,,,,DIS3
,,,,,,,,NCAM2
,,,,,,,,UPK3A
,,,,,,,,RNF216
,,,,,,,,FN3K
,,,,,,,,BORA
,,,,,,,,NUCKS1
,,,,,,,,UBA3
,,,,,,,,MIR34C
,,,,,,,,PRR15
,,,,,,,,DKC1
,,,,,,,,MGAM
,,,,,,,,GNB5
,,,,,,,,ARHGEF17
,,,,,,,,ADCY9
,,,,,,,,ATP2B4
,,,,,,,,MYH1
,,,,,,,,KIF18A
,,,,,,,,ABCA10
,,,,,,,,ABCA6
,,,,,,,,ABCA7
,,,,,,,,ABCA9
,,,,,,,,NCBP1
,,,,,,,,VPS52
,,,,,,,,MATR3
,,,,,,,,GNL2
,,,,,,,,COX7C
,,,,,,,,CDH12
,,,,,,,,CDON
,,,,,,,,DPPA2
,,,,,,,,PPM1H
,,,,,,,,RPL7A
,,,,,,,,MEPE
,,,,,,,,BCHE
,,,,,,,,TUFM
,,,,,,,,TNNC1
,,,,,,,,PMEL
,,,,,,,,ESRRB
,,,,,,,,CNRIP1
,,,,,,,,C1S
,,,,,,,,RNF14
,,,,,,,,TAPBP
,,,,,,,,DHODH
,,,,,,,,TRGV2
,,,,,,,,SLC2A8
,,,,,,,,SLC2A9
,,,,,,,,SLC2A10
,,,,,,,,FFAR2
,,,,,,,,KCNA1
,,,,,,,,ITGA2B
,,,,,,,,RPL10A
,,,,,,,,EPM2AIP1
,,,,,,,,LMO4
,,,,,,,,PLIN3
,,,,,,,,SLC22A12
,,,,,,,,MSH5
,,,,,,,,USP28
,,,,,,,,HAT1
,,,,,,,,RPS20
,,,,,,,,PDE3A
,,,,,,,,PDE3B
,,,,,,,,SDCCAG3
,,,,,,,,OTX2
,,,,,,,,SPINK4
,,,,,,,,ITPKC
,,,,,,,,DGKE
,,,,,,,,DPY19L1
,,,,,,,,KIAA0753
,,,,,,,,PPP6R2
,,,,,,,,MTHFD1
,,,,,,,,MMP17
,,,,,,,,AK3
,,,,,,,,SLC25A4
,,,,,,,,FSHR
,,,,,,,,TLE4
,,,,,,,,PRPF6
,,,,,,,,LNX2
,,,,,,,,NUPL1
,,,,,,,,GPR180
,,,,,,,,POLR1D
,,,,,,,,WNK4
,,,,,,,,SLC4A7
,,,,,,,,SLC9A1
,,,,,,,,SEMG1
,,,,,,,,RHOBTB1
,,,,,,,,ARHGAP11A
,,,,,,,,ZAP70
,,,,,,,,TTC28
,,,,,,,,SNX1
